timestamp,time_delta,packet_size,direction,Type
1522842701.512569,17.7215,1412,0,1
1527791965.185538,43.7136,103,1,0
1527760559.973916,46.7356,98,1,0
1522865358.571933,11.6018,1412,0,1
1522981596.816953,38.9521,1412,0,4
1522865359.037902,12.0677,1412,0,1
1522861278.420178,9.71129,1412,0,1
1522886705.606626,16.8032,1412,0,1
1529478746.745053,0.121445,100,1,2
1522940280.685895,25.6914,1294,0,4
1522886711.237685,22.4343,98,1,1
1522940256.838104,1.84364,1294,0,4
1522763861.532216,16.5087,1412,1,1
1522922677.843961,34.4584,1392,0,4
1522928758.505505,53.0639,74,1,4
1522964051.348628,12.4043,126,1,4
1522928731.69702,26.2554,1294,0,4
1522859387.710837,11.052,1412,0,1
1522953999.101045,7.67351,126,1,4
1522928744.212862,38.7712,74,1,4
1529554552.797945,1.24802,1412,0,2
1522981558.744885,0.880082,1412,0,4
1522853104.373839,5.31724,1412,0,1
1522956026.086768,6.38634,1412,0,4
1529541636.476408,0.958698,1412,0,2
1522928723.073401,17.6318,74,1,4
1522716080.129732,7.60445,1294,0,3
1522928758.219248,52.7776,1294,0,4
1522922646.497023,3.11147,1392,0,4
1522940280.55745,25.563,1294,0,4
1522861277.887242,9.17836,1412,0,1
1522940294.272448,39.278,74,1,4
1522940313.69752,58.7031,74,1,4
1522956076.96676,57.2663,1412,0,4
1522928731.664527,26.2229,1294,0,4
1522886709.587612,20.7842,101,1,1
1522940261.582369,6.58791,1294,0,4
1522859387.866126,11.2073,1412,0,1
1529645506.723313,0.530844,1412,0,2
1522886708.535279,19.7318,1412,0,1
1522853104.787479,5.73088,1412,0,1
1522928715.639015,10.1974,1294,0,4
1529515408.417497,0.936729,1412,0,2
1522886697.622833,8.8194,101,1,1
1522981581.35106,23.4863,1412,0,4
1522940270.073521,15.0791,1294,0,4
1522861278.270798,9.56191,1412,0,1
1529645507.770898,1.57843,1412,0,2
1522956020.478547,0.778117,1412,0,4
1522768766.451009,15.6197,1412,1,1
1522886700.990048,12.1866,114,1,1
1522763853.602321,8.57884,1412,1,1
1529554552.605621,1.05569,1412,0,2
1522953994.411988,2.98446,1412,0,4
1529645506.56555,0.373081,1412,0,2
1522940275.145285,20.1508,1294,0,4
1522635942.17168,1.10742,74,1,3
1522954026.725878,35.2983,1412,0,4
1522865358.793754,11.8236,1412,0,1
1522956020.496537,0.796107,1412,0,4
1529644963.306558,0.544654,1412,0,2
1522928729.288261,23.8466,74,1,4
1522768766.28176,15.4504,1412,1,1
1528085177.315753,13.5451,104,1,0
1522943096.776391,50.3485,1412,0,4
1522964040.745283,1.80091,1412,0,4
1529515408.491347,1.01058,1412,0,2
1522859388.632426,11.9736,1412,0,1
1522943046.578446,0.150557,1412,0,4
1522954003.50298,12.0754,1412,0,4
1529478747.815295,1.19169,116,1,2
1522861278.400226,9.69134,1412,0,1
1522953992.629211,1.20168,1412,0,4
1522956053.210388,33.51,1412,0,4
1522964040.8199,1.87553,1412,0,4
1522768765.038436,14.2071,1412,1,1
1522859388.187845,11.529,1412,0,1
1522861278.2586,9.54972,1412,0,1
1522928722.941501,17.4999,74,1,4
1522943101.803201,55.3753,1412,0,4
1522853101.651949,2.59535,1412,0,1
1527987818.294658,97.8901,258,1,0
1527987774.441744,54.0372,148,0,0
1529626612.990731,1.0034,1412,0,2
1522928709.621889,4.18027,1294,0,4
1522956065.365584,45.6652,1412,0,4
1522956026.060102,6.35967,1412,0,4
1522768771.373209,20.5419,1412,1,1
1528083093.392691,36.3175,271,0,0
1522861277.024613,8.31573,1412,0,1
1522954035.066942,43.6394,1412,0,4
1529513491.177951,0.309875,910,0,2
1522886698.842019,10.0386,101,1,1
1529626612.495458,0.508127,1412,0,2
1522928752.760923,47.3193,74,1,4
1529513491.025454,0.157378,1392,0,2
1522853100.753214,1.69662,1412,0,1
1522861277.138975,8.43009,1412,0,1
1529554552.485081,0.935153,1412,0,2
1522928739.102778,33.6612,1294,0,4
1522940269.954419,14.96,1294,0,4
1522861277.742288,9.0334,1412,0,1
1522953999.088662,7.66113,1412,0,4
1522842702.923543,19.1325,1412,0,1
1522956046.960816,27.2604,1412,0,4
1527993511.895123,16.2423,291,0,0
1522865358.813304,11.8431,1412,0,1
1522763853.305942,8.28246,1412,1,1
1522928709.732708,4.29109,1294,0,4
1529626612.901515,0.914184,1412,0,2
1522928744.189016,38.7474,1294,0,4
1527741730.749701,12.8472,322,1,0
1522940261.645494,6.65103,1294,0,4
1529644964.121874,1.35997,1412,0,2
1527924651.103277,0.568621,1412,0,0
1522842697.42177,13.6307,1412,0,1
1529644963.365754,0.60385,126,1,2
1522953999.067928,7.6404,1412,0,4
1527792024.937091,103.465,100,1,0
1529554552.07949,0.529562,1412,0,2
1522940314.488918,59.4945,74,1,4
1522647189.698404,7.85163,1294,1,3
1522886697.454847,8.65141,101,1,1
1527987828.226329,107.822,148,0,0
1522727177.094654,3.85922,74,1,3
1529564287.17321,2.10137,1412,0,2
1522865358.44749,11.4773,1412,0,1
1522943106.857742,60.4299,1412,0,4
1522964075.435029,36.4907,1412,0,4
1522763855.926128,10.9026,1412,1,1
1522940313.201367,58.2069,1294,0,4
1522928752.949497,47.5079,1294,0,4
1522868694.50566,9.54782,1412,0,1
1529645506.948604,0.756135,1412,0,2
1522842691.909441,8.11836,1412,0,1
1522859388.560741,11.9019,1412,0,1
1522918016.049036,49.7334,930,0,4
1522964051.2949,12.3505,1412,0,4
1522953998.692558,7.26503,1412,0,4
1522964043.019233,4.07486,1412,0,4
1522922669.673482,26.2879,119,1,4
1522943062.943662,16.5158,1412,0,4
1522922683.130792,39.7452,1392,0,4
1522842706.105182,22.3141,1412,0,1
1529564287.64814,2.5763,1412,0,2
1522964083.915667,44.9713,1412,0,4
1522888894.077992,11.5863,1412,0,1
1522964058.603997,19.6596,1412,0,4
1522928757.956947,52.5153,74,1,4
1529554552.169472,0.619544,1412,0,2
1522964042.828401,3.88403,1412,0,4
1522928758.978518,53.5369,1294,0,4
1522981596.824177,38.9594,1412,0,4
1529515408.090484,0.609716,1412,0,2
1522853103.112499,4.0559,122,1,1
1529478747.449086,0.825478,1412,0,2
1522853103.75626,4.69966,1412,0,1
1529541636.108283,0.590573,126,1,2
1529554552.903911,1.35398,1412,0,2
1522943078.581539,32.1536,1412,0,4
1527987801.276527,80.872,101,1,0
1529513491.879307,1.01123,1392,0,2
1522865359.365685,12.3955,1412,0,1
1522768767.803746,16.9724,1412,1,1
1522940294.366891,39.3724,1294,0,4
1529645506.881389,0.68892,1412,0,2
1529626612.823067,0.835736,1412,0,2
1522943046.578194,0.150305,1412,0,4
1522928758.964589,53.523,1294,0,4
1522763866.564058,21.5406,1412,1,1
1522940285.857614,30.8632,1294,0,4
1522888894.728779,12.2371,1412,0,1
1522865359.070593,12.1004,1412,0,1
1522964064.042119,25.0977,1412,0,4
1529554552.170464,0.620536,1412,0,2
1522928738.981876,33.5403,1294,0,4
1522635942.05773,0.993467,1294,0,3
1522768771.626547,20.7952,1412,1,1
1528085260.64028,96.8696,390,1,0
1529478747.009287,0.385679,1412,0,2
1522739791.874701,6.70205,140,0,3
1529645507.50057,1.3081,1412,0,2
1522763859.948428,14.9249,1412,1,1
1522868693.495378,8.53753,1412,0,1
1522956077.137771,57.4373,1412,0,4
1522768775.395833,24.5645,1412,1,1
1522763864.682928,19.6594,1412,1,1
1522918016.038701,49.723,1412,0,4
1522865358.648235,11.6781,1412,0,1
1529515408.2551,0.774332,1412,0,2
1527987811.096552,90.692,395,1,0
1529644964.115078,1.35317,125,1,2
1522861277.579741,8.87086,1412,0,1
1522964075.935929,36.9916,1412,0,4
1522956069.468272,49.7678,1412,0,4
1529645507.991092,1.79862,1412,0,2
1522918702.416609,2.05459,1412,0,4
1529564286.632179,1.56034,1412,0,2
1522964070.313935,31.3696,1412,0,4
1527760623.929605,110.691,87,0,0
1522865359.262503,12.2923,1412,0,1
1522922655.970035,12.5845,1392,0,4
1522964063.97554,25.0312,1412,0,4
1527851042.286241,80.7225,976,1,0
1527741762.30627,44.4038,107,1,0
1522943101.348177,54.9203,1412,0,4
1527993581.131863,85.479,387,1,0
1522842701.237975,17.4469,1412,0,1
1527745294.598776,69.5217,87,0,0
1527741729.886651,11.9842,107,1,0
1522928709.590291,4.14867,110,1,4
1522956020.066588,0.366158,1412,0,4
1522918739.142955,38.7809,1412,0,4
1522943052.394089,5.9662,1412,0,4
1522654301.246369,0.155039,74,1,3
1529645506.715809,0.52334,125,1,2
1529564285.511842,0.440005,1412,0,2
1522865359.505392,12.5352,125,1,1
1522981558.741653,0.87685,1412,0,4
1529626612.195426,0.208095,1412,0,2
1522861277.847245,9.13836,1412,0,1
1529645507.75932,1.56685,1412,0,2
1529644963.52707,0.765166,1412,0,2
1522953994.749324,3.32179,1412,0,4
1522763866.00441,20.9809,1412,1,1
1529645507.997941,1.80547,1412,0,2
1522917969.378084,3.06242,1412,0,4
1522956065.215456,45.515,192,1,4
1522744998.57654,8.02609,1294,0,3
1522763856.191364,11.1679,1412,1,1
1522888894.002322,11.5106,1412,0,1
1522956020.070468,0.370038,1412,0,4
1522940270.074608,15.0801,1294,0,4
1522918739.294997,38.933,1412,0,4
1522861277.280292,8.57141,1412,0,1
1522928709.459416,4.0178,110,1,4
1522964039.636219,0.691848,1412,0,4
1522888894.731465,12.2397,1412,0,1
1522853105.028792,5.9722,1412,0,1
1522768770.959728,20.1284,97,0,1
1522964083.221037,44.2767,1412,0,4
1522842696.286525,12.4954,1412,0,1
1522768766.50728,15.6759,1412,1,1
1527924672.063231,21.5286,148,0,0
1528085263.314573,99.5439,92,0,0
1527987770.767523,50.363,148,0,0
1522861277.489809,8.78092,428,0,1
1522922655.962678,12.5771,1392,0,4
1522954045.278065,53.8505,1412,0,4
1522928706.052905,0.611288,1294,0,4
1522763854.079368,9.05589,1412,1,1
1522842705.125864,21.3348,1412,0,1
1522943096.721143,50.2933,1412,0,4
1522922669.752074,26.3665,1392,0,4
1522981558.762229,0.897426,125,1,4
1529513491.180308,0.312232,1392,0,2
1529541636.110735,0.593025,1412,0,2
1529644964.286229,1.52432,1412,0,2
1529554552.073706,0.523778,1412,0,2
1522940302.52668,47.5322,74,1,4
1522886701.594077,12.7906,1412,0,1
1522922683.092595,39.707,1392,0,4
1522981563.954346,6.08954,1412,0,4
1522842696.227199,12.4361,104,1,1
1522943046.851858,0.423969,1412,0,4
1522768768.23004,17.3987,1412,1,1
1529564286.704501,1.63266,1412,0,2
1522865358.740609,11.7704,1412,0,1
1522918753.143634,52.7816,1412,0,4
1528083057.441828,0.366634,1412,0,0
1529626612.264355,0.277024,1412,0,2
1522768798.040844,47.2095,178,0,1
1529626612.646532,0.659201,930,0,2
1527791962.372655,40.9007,100,1,0
1522861277.756447,9.04756,1412,0,1
1529626612.634001,0.64667,1412,0,2
1522964064.04158,25.0972,1412,0,4
1522964039.66079,0.716419,1412,0,4
1522768762.438295,11.607,1412,1,1
1522842698.824298,15.0332,1412,0,1
1522842701.243088,17.452,1412,0,1
1522956031.6173,11.9169,1412,0,4
1529541636.675494,1.15778,1412,0,2
1528085212.998881,49.2282,87,0,0
1522943078.457872,32.03,1412,0,4
1522868694.474199,9.51635,1412,0,1
1522981606.438531,48.5737,168,1,4
1522865359.297791,12.3276,1412,0,1
1522853103.463618,4.40702,1412,0,1
1522964099.985436,61.0411,1412,0,4
1527791927.817307,6.34537,1412,0,0
1529644963.457159,0.695255,1412,0,2
1522943073.289054,26.8612,1412,0,4
1522928759.18991,53.7483,74,1,4
1527745305.681305,80.6042,263,1,0
1522853102.181889,3.12529,1412,0,1
1522956069.188779,49.4883,1412,0,4
1522768768.043457,17.2121,103,0,1
1522943046.947086,0.519197,1412,0,4
1522943088.645046,42.2172,1412,0,4
1527924687.392058,36.8574,101,1,0
1522943096.744939,50.317,1412,0,4
1522943106.729367,60.3015,1412,0,4
1522768765.655496,14.8242,100,0,1
1522940312.96832,57.9739,74,1,4
1522953998.750959,7.32343,1412,0,4
1522964075.433294,36.4889,113,1,4
1529541636.111731,0.594021,1412,0,2
1529554552.544649,0.994721,1412,0,2
1522928715.611854,10.1702,74,1,4
1522943047.061458,0.633569,1412,0,4
1522964040.755285,1.81091,1412,0,4
1522943046.983066,0.555177,1412,0,4
1522922669.599371,26.2138,1392,0,4
1522964042.857996,3.91363,1412,0,4
1522865358.736954,11.7668,125,1,1
1522865359.277805,12.3076,1412,0,1
1522859388.350163,11.6913,120,1,1
1522981563.989499,6.1247,956,0,4
1527851046.642749,85.079,87,0,0
1522922683.066238,39.6807,1392,0,4
1522768771.870463,21.0391,117,0,1
1522865358.350584,11.3804,1412,0,1
1522953992.641205,1.21368,1412,0,4
1522943082.838232,36.4103,126,1,4
1529554551.734562,0.184634,1412,0,2
1522940303.798641,48.8042,1294,0,4
1522928752.711106,47.2695,1294,0,4
1522865358.555956,11.5858,1412,0,1
1522940280.542545,25.5481,1294,0,4
1527924749.321059,98.7864,260,1,0
1522956031.4352,11.7348,1412,0,4
1522888894.021616,11.5299,125,1,1
1522928748.307723,42.8661,1294,0,4
1522768773.512676,22.6813,103,0,1
1522768772.5446,21.7133,94,0,1
1522842693.634274,9.84319,1392,0,1
1522940294.255171,39.2607,1294,0,4
1522943101.417175,54.9893,1412,0,4
1522964042.878876,3.9345,1412,0,4
1522868694.242603,9.28476,1412,0,1
1522964070.131998,31.1876,1412,0,4
1522964042.84537,3.901,126,1,4
1522918720.309075,19.9471,1412,0,4
1522922696.694537,53.309,1392,0,4
1528083092.980864,35.9057,98,1,0
1522956021.066577,1.36615,1412,0,4
1522842700.008454,16.2174,104,1,1
1529513491.314923,0.446847,1392,0,2
1522853099.485872,0.429277,1412,0,1
1522768767.767477,16.9361,1412,1,1
1522861278.246547,9.53766,1412,0,1
1522964040.561266,1.61689,1412,0,4
1529513491.631456,0.76338,1392,0,2
1522763863.332197,18.3087,1412,1,1
1522964043.025126,4.08075,1412,0,4
1522943073.285361,26.8575,126,1,4
1522981572.197732,14.3329,1412,0,4
1529478747.651278,1.02767,114,1,2
1522886700.128178,11.3247,1412,0,1
1522859388.47806,11.8192,1412,0,1
1522954034.602358,43.1748,1412,0,4
1529564285.629295,0.557458,1412,0,2
1522964042.791881,3.84751,1412,0,4
1522956021.028575,1.32815,1412,0,4
1522842710.343898,26.5528,1412,0,1
1522956056.502589,36.8022,1412,0,4
1529645506.581812,0.389343,1412,0,2
1522956047.112771,27.4123,1412,0,4
1529564285.671843,0.600006,1412,0,2
1522956070.416449,50.716,110,1,4
1529634880.43596,0.0269971,97,1,2
1522859388.092348,11.4335,1412,0,1
1522943052.239588,5.8117,139,1,4
1522842698.037288,14.2462,104,1,1
1522956047.025252,27.3248,1412,0,4
1529513491.200251,0.332175,1392,0,2
1522940256.827103,1.83264,1294,0,4
1522635942.336737,1.27247,1294,0,3
1522861278.532884,9.824,125,1,1
1522842710.926832,27.1358,1412,0,1
1522888894.779524,12.2878,1412,0,1
1522768772.987995,22.1567,1412,1,1
1529554552.860621,1.31069,1412,0,2
1522768770.543051,19.7117,1412,1,1
1522943106.279554,59.8517,1412,0,4
1529626612.22676,0.239429,125,1,2
1522964063.938457,24.9941,126,1,4
1522928753.022068,47.5805,74,1,4
1522922677.836589,34.451,1392,0,4
1522853104.852425,5.79583,1412,0,1
1529515407.851204,0.370436,1412,0,2
1522922696.631021,53.2455,1392,0,4
1522768768.544275,17.7129,1412,1,1
1522981606.059149,48.1943,1412,0,4
1522956031.44404,11.7436,1412,0,4
1529634880.978988,0.570025,1412,0,2
1527745281.282938,56.2058,1412,1,0
1522964084.15311,45.2087,1412,0,4
1522918009.797445,43.4818,1412,0,4
1522918752.891473,52.5295,1412,0,4
1522956038.830791,19.1304,1412,0,4
1522922669.786182,26.4006,1392,0,4
1529564287.611279,2.53944,1412,0,2
1522943057.56687,11.139,1412,0,4
1522868693.646113,8.68827,1412,0,1
1522956056.566808,36.8664,1412,0,4
1527993568.835243,73.1824,388,1,0
1527792023.333134,101.861,1412,1,0
1522861277.639194,8.93031,1412,0,1
1522954035.181401,43.7539,1412,0,4
1522922652.568997,9.18344,1392,0,4
1522865358.30904,11.3389,1412,0,1
1522956065.479588,45.7792,1412,0,4
1529645508.046565,1.8541,1412,0,2
1527924753.624676,103.09,87,0,0
1522928715.453464,10.0118,74,1,4
1522922645.34552,1.95997,1392,0,4
1529515407.863686,0.382918,1412,0,2
1522768765.417677,14.5863,100,0,1
1522768770.985569,20.1542,1412,1,1
1529554552.362821,0.812893,1412,0,2
1522956056.508243,36.8078,1412,0,4
1522943052.327861,5.89997,1412,0,4
1522842707.509573,23.7185,1412,0,1
1522768769.3811,18.5498,1412,1,1
1522886698.034163,9.23073,1412,0,1
1522964083.241165,44.2968,1412,0,4
1522662270.652754,0.761855,74,1,3
1522940280.654366,25.6599,74,1,4
1522956020.491698,0.791268,126,1,4
1529515408.565493,1.08473,1412,0,2
1529513491.342287,0.474211,1392,0,2
1522956020.450595,0.750165,1412,0,4
1522943107.17528,60.7474,1412,0,4
1522956065.633824,45.9334,1412,0,4
1522886711.753739,22.9503,101,1,1
1522918702.438593,2.07658,1412,0,4
1522964095.207486,56.2631,243,1,4
1522768769.331466,18.5001,111,0,1
1527987800.552956,80.1484,87,0,0
1522956056.411174,36.7107,1412,0,4
1522954003.219815,11.7923,1412,0,4
1529644963.355175,0.593271,1412,0,2
1522922655.850361,12.4648,1392,0,4
1522943088.567242,42.1394,1412,0,4
1529541635.865911,0.348201,1412,0,2
1522928758.550885,53.1093,1294,0,4
1522954003.096815,11.6693,1412,0,4
1522928722.991352,17.5497,1294,0,4
1522943082.775762,36.3479,139,1,4
1522842708.760761,24.9697,1412,0,1
1529541636.101652,0.583942,1412,0,2
1522943106.970316,60.5424,1412,0,4
1529515407.924478,0.44371,1412,0,2
1529564285.815259,0.743422,1412,0,2
1522956077.78286,58.0824,107,1,4
1529554552.434706,0.884778,1412,0,2
1522943046.78857,0.360681,1412,0,4
1522922683.083247,39.6977,1392,0,4
1522943073.302028,26.8741,1412,0,4
1522953994.707327,3.2798,1412,0,4
1522943106.246377,59.8185,1412,0,4
1522842693.014971,9.22389,185,1,1
1522842694.279257,10.4882,1412,0,1
1522964083.113046,44.1687,1412,0,4
1522868694.169415,9.21157,1412,0,1
1529515407.583035,0.102267,1412,0,2
1522954044.76519,53.3377,1412,0,4
1529478746.791096,0.167488,1412,0,2
1529626613.166184,1.17885,107,1,2
1522861277.360615,8.65173,1412,0,1
1522842694.944124,11.153,101,1,1
1529634880.818702,0.409739,1412,0,2
1522861278.512514,9.80363,1412,0,1
1522865358.778606,11.8084,1412,0,1
1527993587.899283,92.2464,92,0,0
1529478747.74414,1.12053,1412,0,2
1522928738.983159,33.5415,74,1,4
1522853100.285336,1.22874,113,1,1
1522763862.633229,17.6097,1412,1,1
1529478747.809168,1.18556,1412,0,2
1522842698.228692,14.4376,1412,0,1
1522842710.208858,26.4178,1412,0,1
1522888893.976115,11.4844,1412,0,1
1522865358.703471,11.7333,125,1,1
1522859388.136608,11.4778,1412,0,1
1522842703.868481,20.0774,1412,0,1
1522861277.193237,8.48435,1412,0,1
1527791948.317753,26.8458,91,0,0
1527791932.609686,11.1377,392,1,0
1522886710.01364,21.2102,101,1,1
1522859388.392562,11.7337,1412,0,1
1522918719.176017,18.814,1412,0,4
1522940285.833694,30.8392,1294,0,4
1522922696.609813,53.2243,1392,0,4
1522953995.173947,3.74642,126,1,4
1528083100.575858,43.5007,140,0,0
1522964051.385159,12.4408,1412,0,4
1522853103.315213,4.25862,1412,0,1
1522853101.405386,2.34879,113,1,1
1522635942.170658,1.1064,1294,0,3
1522888894.017849,11.5261,1412,0,1
1528083069.30981,12.2346,1412,1,0
1522928723.137869,17.6963,1294,0,4
1522928723.114643,17.673,1294,0,4
1522859388.333585,11.6748,1412,0,1
1522886700.652578,11.8491,1412,0,1
1522888894.093389,11.6017,1412,0,1
1522928723.105881,17.6643,1294,0,4
1522943088.447269,42.0194,1412,0,4
1522928706.023528,0.581911,1294,0,4
1529644963.663433,0.901529,1412,0,2
1528085191.208641,27.438,233,0,0
1529564285.808754,0.736917,1412,0,2
1522964075.349372,36.405,1412,0,4
1522868694.807883,9.85004,1412,0,1
1528083143.060532,85.9853,148,0,0
1529634882.049084,1.64012,1412,0,2
1522768775.442217,24.6109,1412,1,1
1522922696.575286,53.1897,1392,0,4
1522928759.159857,53.7182,74,1,4
1522943052.384579,5.95669,1412,0,4
1522886706.619877,17.8164,1412,0,1
1522918700.439478,0.0774639,1412,0,4
1528083115.130406,58.0552,256,1,0
1522768772.153848,21.3225,1412,1,1
1522940261.480362,6.4859,1294,0,4
1522768774.74349,23.9122,1412,1,1
1522953994.462314,3.03478,1412,0,4
1529478747.329495,0.705887,1412,0,2
1522964083.572399,44.628,1412,0,4
1522868693.950511,8.99267,1412,0,1
1522964098.888648,59.9443,116,1,4
1529645506.882457,0.689988,1412,0,2
1529564285.872794,0.800957,1412,0,2
1522928709.476548,4.03493,1294,0,4
1522964039.66721,0.722839,1412,0,4
1522964063.968525,25.0242,1412,0,4
1522928744.347936,38.9063,74,1,4
1522865359.388791,12.4186,1412,0,1
1522918752.72409,52.3621,1412,0,4
1529478747.879433,1.25582,1412,0,2
1529478747.79814,1.17453,1412,0,2
1522943047.006067,0.578178,1412,0,4
1522956038.838751,19.1383,1412,0,4
1529554552.838255,1.28833,1412,0,2
1522928731.55242,26.1108,74,1,4
1529644963.013056,0.251152,1412,0,2
1529564285.681239,0.609402,1412,0,2
1522964063.942685,24.9983,1412,0,4
1522886708.516468,19.713,101,1,1
1522940285.765685,30.7712,1294,0,4
1529541636.672107,1.1544,1412,0,2
1522842698.432545,14.6415,1412,0,1
1522964070.307266,31.3629,1412,0,4
1522859388.269615,11.6108,1412,0,1
1522768764.38219,13.5509,103,0,1
1529515408.758561,1.27779,1412,0,2
1522763858.037168,13.0137,1412,1,1
1522763858.720553,13.6971,1412,1,1
1522964042.819405,3.87503,1412,0,4
1522943073.316914,26.889,1412,0,4
1522853104.794369,5.73777,1412,0,1
1522956077.610329,57.9099,1412,0,4
1522964099.843164,60.8988,1412,0,4
1522943082.726433,36.2985,1412,0,4
1522956031.544131,11.8437,1412,0,4
1522859388.200847,11.542,1412,0,1
1522940303.322896,48.3284,74,1,4
1522956026.037701,6.33727,1412,0,4
1522953993.269514,1.84198,1412,0,4
1527791934.229597,12.7577,100,1,0
1522853105.229526,6.17293,1412,0,1
1522928748.038214,42.5966,1294,0,4
1522981564.00023,6.13543,1412,0,4
1522918700.915521,0.553507,1412,0,4
1522964095.156384,56.212,1412,0,4
1522928709.43148,3.98986,1294,0,4
1522768766.673774,15.8424,1412,1,1
1522953998.664345,7.23681,138,1,4
1522886702.537592,13.7342,1412,0,1
1522943063.059617,16.6317,1412,0,4
1522865358.086676,11.1165,1412,0,1
1529513491.803446,0.93537,1392,0,2
1522768772.679953,21.8486,100,0,1
1522768771.689004,20.8577,1412,1,1
1529644964.205045,1.44314,1412,0,2
1529644964.314854,1.55295,1412,0,2
1522842709.606278,25.8152,1412,0,1
1529645506.585336,0.392867,1412,0,2
1522922644.300028,0.914475,1392,0,4
1529645507.468659,1.27619,1412,0,2
1522715509.497955,5.4823,147,0,3
1522886711.305631,22.5022,101,1,1
1522953993.22857,1.80104,1412,0,4
1529554551.839671,0.289743,1412,0,2
1522954013.998329,22.5708,1412,0,4
1527760588.61176,75.3734,148,0,0
1522943088.439899,42.012,125,1,4
1522928705.666672,0.225055,1294,0,4
1522853100.460352,1.40376,1412,0,1
1522888894.833196,12.3415,1412,0,1
1522853104.955715,5.89912,1412,0,1
1522943052.359788,5.9319,1412,0,4
1522842699.454495,15.6634,1412,0,1
1522964099.254486,60.3101,1412,0,4
1522943046.998071,0.570182,1412,0,4
1529634881.594929,1.18597,1412,0,2
